DATA START WALK AROUND 2/15 5:30pm
ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Longitude (deg),Mode,GPS Time,Alt,EPX,EPY,EPV,Speed,Hdop,Vdop,Time
10,9.62,803.9847730839303,24.683585717452356,38.849030267,-104.826576127,3,u'2021-02-16T00:43:58.000Z',1882.653,9.411,18.051,30.36,0.068,,,04:49:49.737519
11,9.73,804.0637750359944,24.189677890445346,,,,,,,,,,0.96,1.32,04:49:52.735689
12,9.81,804.0266684105269,25.316378351717766,38.849021461,-104.826581919,3,u'2021-02-16T00:44:03.000Z',1882.687,9.008,11.217,31.74,0.092,,,04:49:54.979137
13,9.89,804.0652422707619,25.131187247743345,38.849021188,-104.826581955,3,u'2021-02-16T00:44:06.000Z',1882.598,9.008,11.217,31.74,0.013,,,04:49:57.736485
14,9.98,804.0575824863448,24.289873127300957,38.849024651,-104.826580305,3,u'2021-02-16T00:44:09.000Z',1882.248,9.008,11.217,31.74,0.02,,,04:50:00.738344
15,10.04,804.0200261349871,26.06218682212856,38.849029151,-104.826577963,3,u'2021-02-16T00:44:11.000Z',1881.93,8.491,12.562,31.74,0.046,,,04:50:03.737816
16,10.07,804.0542170125685,25.433845769652947,38.849036721,-104.82657466,3,u'2021-02-16T00:44:14.000Z',1881.54,8.491,12.562,31.74,0.038,,,04:50:05.738713
17,10.14,804.0685421681374,26.709861591349203,38.849051255,-104.826570472,3,u'2021-02-16T00:44:17.000Z',1881.242,8.491,12.562,31.74,0.011,,,04:50:08.738440
18,10.17,804.0446164658338,25.002735933116142,38.849064194,-104.826564257,3,u'2021-02-16T00:44:20.000Z',1880.702,8.491,12.562,31.74,0.066,,,04:50:11.738419
19,10.21,804.0604486778243,23.905226983122652,38.849074033,-104.826561124,3,u'2021-02-16T00:44:22.000Z',1880.493,8.464,12.574,31.74,0.036,,,04:50:14.738079
20,10.24,804.029675676858,23.276116456226607,38.849083558,-104.826556445,3,u'2021-02-16T00:44:25.000Z',1880.104,8.464,12.574,31.74,0.085,,,04:50:16.737871
21,10.28,804.0001539270685,24.765093795946783,38.849087819,-104.826556936,3,u'2021-02-16T00:44:28.000Z',1879.676,8.464,12.574,40.48,0.121,,,04:50:19.740307
22,10.1,804.0268810178178,26.1804430369767,,,,,,,,,,1.48,2.03,04:50:22.735725
23,9.87,804.0273637315156,23.506091582624833,,,1}>,u'2021-02-16T00:44:33.000Z',,,,,,,,04:50:24.977848
24,9.79,804.0123465294303,22.881186938102484,,,1}>,u'2021-02-16T00:44:36.000Z',,,,,,,,04:50:27.731199
25,9.6,804.0191509819109,23.16751244573591,38.849085202,-104.826576638,3,u'2021-02-16T00:44:39.000Z',1880.276,14.117,29.925,23.0,0.517,,,04:50:30.732819
26,9.39,803.9659690353932,22.6673533817425,38.848988022,-104.826575243,3,u'2021-02-16T00:44:41.000Z',1880.602,59.042,157.806,472.19,2.137,,,04:50:33.736732
27,9.23,804.0129403704315,22.736213059702703,38.849081469,-104.826462823,3,u'2021-02-16T00:44:44.000Z',1880.966,59.042,157.806,100.97,3.077,,,04:50:35.740592
28,9.12,803.9859259469986,22.95093224934842,38.84891443,-104.826395261,3,u'2021-02-16T00:44:47.000Z',1881.087,59.042,157.806,228.16,4.432,,,04:50:38.736275
29,9.04,804.032422492698,23.654454689515585,38.848870027,-104.826443685,3,u'2021-02-16T00:44:50.000Z',1881.056,59.042,157.806,86.94,1.835,,,04:50:41.736955
30,9.26,803.9534833478624,28.088624255022342,38.848847405,-104.826451202,3,u'2021-02-16T00:44:52.000Z',1881.034,20.744,14.863,87.17,1.319,,,04:50:44.737873
31,9.57,803.9778458649349,31.16649941773867,38.848820297,-104.826432775,3,u'2021-02-16T00:44:55.000Z',1880.802,20.744,14.863,49.22,1.411,,,04:50:46.738022
32,9.76,803.9781499735459,32.77378299842774,38.84880102,-104.826419655,3,u'2021-02-16T00:44:58.000Z',1880.59,20.744,14.863,32.43,1.124,,,04:50:49.740291
33,10.06,804.0048360337255,33.196759264723575,,,,,,,,,,1.11,1.85,04:50:52.737637
34,10.22,803.9924383362403,31.622610844382358,38.848820952,-104.826386863,3,u'2021-02-16T00:45:03.000Z',1880.329,10.517,12.968,42.55,0.676,,,04:50:54.978594
35,10.35,803.9821261111737,28.33018171472371,38.848830784,-104.826423476,3,u'2021-02-16T00:45:06.000Z',1880.137,10.517,12.968,62.56,0.471,,,04:50:57.733887
36,11.07,804.0711390876817,25.79198649669091,38.848793812,-104.82639442,3,u'2021-02-16T00:45:09.000Z',1880.037,10.517,12.968,77.97,0.932,,,04:51:00.737923
37,11.26,804.1191294371768,25.374297841653533,38.848725895,-104.826344176,3,u'2021-02-16T00:45:11.000Z',1879.772,20.824,24.555,84.87,1.751,,,04:51:03.737437
38,11.37,804.1881490604756,25.187743354522762,38.848659368,-104.826259827,3,u'2021-02-16T00:45:14.000Z',1879.395,20.824,24.555,84.87,1.896,,,04:51:05.738468
39,11.53,804.2507280019546,25.377270190776922,38.848623852,-104.826245663,3,u'2021-02-16T00:45:17.000Z',1879.174,20.824,24.555,84.87,1.295,,,04:51:08.734577
40,12.11,804.3227106411047,23.94281981762495,38.848602839,-104.826260499,3,u'2021-02-16T00:45:20.000Z',1879.074,20.824,24.555,93.61,1.125,,,04:51:11.737807
41,12.41,804.3109796861387,23.502172991147614,38.84858851,-104.826260044,3,u'2021-02-16T00:45:22.000Z',1879.44,85.344,138.404,23.0,0.996,,,04:51:14.738313
42,12.56,804.3367261168449,22.14693779420558,38.848609863,-104.826222697,3,u'2021-02-16T00:45:25.000Z',1879.318,85.344,138.404,84.87,0.794,,,04:51:16.734698
43,11.91,804.3197576966429,20.009315415970047,38.848794712,-104.826444644,3,u'2021-02-16T00:45:28.000Z',1879.435,85.344,138.404,65.09,0.427,,,04:51:19.733983
44,10.44,804.3660651315133,18.207951208338056,,,,,,,,,,0.98,1.33,04:51:22.740082
45,10.18,804.3809645707966,18.43188248596455,38.848929478,-104.82648962,3,u'2021-02-16T00:45:33.000Z',1877.913,8.45,11.244,34.73,0.835,,,04:51:24.994822
46,9.36,804.3182215658131,18.287490943793575,38.848966276,-104.826457627,3,u'2021-02-16T00:45:36.000Z',1876.315,8.45,11.244,43.93,0.648,,,04:51:27.743945
47,8.55,804.3064916328225,18.154419382247845,38.848965888,-104.826413708,3,u'2021-02-16T00:45:39.000Z',1874.758,8.45,11.244,30.59,1.227,,,04:51:30.738162
48,7.18,804.3219582460058,18.08186230176192,38.848959613,-104.826380746,3,u'2021-02-16T00:45:41.000Z',1873.981,12.754,19.403,43.93,1.38,,,04:51:33.739936
49,6.37,804.2726462075117,18.244060117764384,38.848962845,-104.826320483,3,u'2021-02-16T00:45:44.000Z',1873.01,12.754,19.403,42.32,1.465,,,04:51:35.741660
50,5.38,804.1767224903264,18.589296950700845,38.84896007,-104.826274878,3,u'2021-02-16T00:45:47.000Z',1872.452,12.754,19.403,30.59,1.205,,,04:51:38.739984
51,4.52,804.1671413664554,19.0792418509589,38.848955823,-104.82622765,3,u'2021-02-16T00:45:50.000Z',1871.794,12.754,19.403,42.32,1.231,,,04:51:41.740305
52,3.86,804.1884841263131,19.491112098885587,38.848955425,-104.826196423,3,u'2021-02-16T00:45:52.000Z',1871.514,11.702,12.303,30.59,1.184,,,04:51:44.739998
53,3.41,804.1719380018576,19.724027616856276,38.848974592,-104.826172759,3,u'2021-02-16T00:45:55.000Z',1871.454,11.702,12.303,42.32,0.923,,,04:51:46.742493
54,2.99,804.070522550604,20.286687188044358,38.848990923,-104.826157982,3,u'2021-02-16T00:45:58.000Z',1871.562,11.702,12.303,37.26,0.821,,,04:51:49.741486
55,2.74,803.9998905083515,20.605768663638305,,,,,,,,,,1.08,1.62,04:51:52.740340
56,2.43,803.9491407038558,20.859441514847063,38.849010065,-104.826131002,3,u'2021-02-16T00:46:03.000Z',1871.442,10.458,12.412,30.59,0.842,,,04:51:55.021131
57,1.98,803.8638500985347,21.128840988910508,38.849041694,-104.826099572,3,u'2021-02-16T00:46:06.000Z',1870.7,10.458,12.412,30.59,1.336,,,04:51:57.742487
58,1.63,803.8440784458762,21.60162291254823,38.849066078,-104.826065077,3,u'2021-02-16T00:46:09.000Z',1869.697,10.458,12.412,42.32,1.041,,,04:52:00.742867
59,1.45,803.8537935734427,21.708739145347277,38.849082792,-104.826045906,3,u'2021-02-16T00:46:11.000Z',1870.135,8.448,11.254,30.59,1.22,,,04:52:03.740435
60,1.08,803.8350747642424,21.901303004500623,38.849098143,-104.826003559,3,u'2021-02-16T00:46:14.000Z',1869.023,8.448,11.254,30.59,1.31,,,04:52:05.743110
61,0.39,803.8530643025475,22.551158079493586,38.849104492,-104.82595835,3,u'2021-02-16T00:46:17.000Z',1868.562,8.448,11.254,30.82,1.214,,,04:52:08.746994
62,-0.27,803.8403723620868,23.4486049251998,38.849105028,-104.825909481,3,u'2021-02-16T00:46:20.000Z',1867.819,8.448,11.254,42.32,1.37,,,04:52:11.742191
63,-0.94,803.8413584912626,24.159555831683054,38.849107063,-104.825875442,3,u'2021-02-16T00:46:22.000Z',1867.235,11.664,12.319,42.32,1.382,,,04:52:14.740587
64,-1.34,803.8432964373281,24.59359955598553,38.849106473,-104.825817974,3,u'2021-02-16T00:46:25.000Z',1867.253,11.664,12.319,42.32,1.289,,,04:52:16.741803
65,-1.86,803.831264250143,25.352183757607953,38.849096681,-104.825766558,3,u'2021-02-16T00:46:28.000Z',1867.662,11.664,12.319,30.82,1.407,,,04:52:19.742573
66,-2.45,803.8825723602098,26.093382111757126,,,,,,,,,,0.94,1.34,04:52:22.742200
67,-2.69,803.8732598111269,26.53666898866195,38.849114788,-104.825689559,3,u'2021-02-16T00:46:33.000Z',1864.433,8.428,11.249,30.82,1.348,,,04:52:25.022371
68,-2.97,803.8662828081656,27.17375784361146,38.849121093,-104.825644412,3,u'2021-02-16T00:46:36.000Z',1862.336,8.428,11.249,33.35,1.209,,,04:52:27.743270
69,-3.26,803.937030047601,27.655485360229815,38.849124757,-104.825598634,3,u'2021-02-16T00:46:39.000Z',1861.273,8.428,11.249,37.49,1.259,,,04:52:30.740711
70,-3.18,803.8145069472607,27.488036278639495,38.849121723,-104.825564928,3,u'2021-02-16T00:46:41.000Z',1861.149,8.428,11.249,30.82,1.223,,,04:52:33.743283
71,-3.27,803.837324166695,27.1969321146381,38.849132834,-104.825516612,3,u'2021-02-16T00:46:44.000Z',1859.362,8.428,11.249,30.82,1.355,,,04:52:35.740873
72,-3.45,803.8525845032646,27.11255664718384,38.849151869,-104.825475784,3,u'2021-02-16T00:46:47.000Z',1858.492,8.428,11.249,30.82,1.424,,,04:52:38.743954
73,-3.5,803.8795072788001,27.268226409803475,38.849170791,-104.825424187,3,u'2021-02-16T00:46:50.000Z',1855.022,8.428,11.249,30.82,1.335,,,04:52:41.742850
74,-3.71,803.879485735503,27.23950767144782,38.849181159,-104.825393378,3,u'2021-02-16T00:46:52.000Z',1852.317,8.537,11.744,30.82,1.276,,,04:52:44.743819
75,-3.86,803.8466388999774,27.259385107833232,38.849196488,-104.825347062,3,u'2021-02-16T00:46:55.000Z',1851.67,8.537,11.744,30.82,1.441,,,04:52:46.739957
76,-4.11,803.7876944766907,27.35293592367841,38.849205343,-104.825302269,3,u'2021-02-16T00:46:58.000Z',1851.008,8.537,11.744,30.82,1.123,,,04:52:49.740864
77,-4.28,803.8845168160047,27.312242423115368,,,,,,,,,,0.94,1.34,04:52:52.742993
78,-4.48,803.8202993523286,27.724344826714074,38.849203907,-104.825231318,3,u'2021-02-16T00:47:03.000Z',1849.755,8.424,11.311,30.82,1.215,,,04:52:55.009989
79,-4.71,803.8302369286673,27.93261456040688,38.849225041,-104.825182442,3,u'2021-02-16T00:47:06.000Z',1852.262,8.424,11.311,38.64,1.256,,,04:52:57.738939
80,-5.04,803.8346424665953,28.813819637506654,38.849225688,-104.825138661,3,u'2021-02-16T00:47:09.000Z',1852.396,8.424,11.311,31.05,1.364,,,04:53:00.742627
81,-5.03,803.8484636401486,28.582590558087215,38.84922828,-104.82510267,3,u'2021-02-16T00:47:11.000Z',1851.831,9.575,11.617,31.05,1.302,,,04:53:03.747731
82,-5.15,803.8475181086416,28.331745210256308,38.849227763,-104.825059753,3,u'2021-02-16T00:47:14.000Z',1851.647,9.575,11.617,31.05,1.186,,,04:53:05.741309
83,-5.3,803.8464138410814,28.28499827047359,38.849231467,-104.825008183,3,u'2021-02-16T00:47:17.000Z',1851.121,9.575,11.617,31.28,1.441,,,04:53:08.738328
84,-5.47,803.8592029440017,28.10669112431399,38.849253141,-104.824964126,3,u'2021-02-16T00:47:20.000Z',1850.843,9.575,11.617,31.05,1.44,,,04:53:11.742777
85,-5.68,803.8452096794306,28.80267286760782,38.849264381,-104.824940217,3,u'2021-02-16T00:47:22.000Z',1851.381,8.437,11.278,31.05,1.298,,,04:53:14.743450
86,-5.74,803.8382639716252,28.91903165543388,38.84929592,-104.824918484,3,u'2021-02-16T00:47:25.000Z',1850.811,8.437,11.278,31.05,1.352,,,04:53:16.742731
87,-5.84,803.8265764405955,28.26731910078484,38.849321798,-104.824892999,3,u'2021-02-16T00:47:28.000Z',1849.81,8.437,11.278,31.05,1.554,,,04:53:19.740125
88,-5.98,803.8360615723639,27.473838877612774,,,,,,,,,,0.94,1.35,04:53:22.743600
89,-6.06,803.8753087534599,27.568638151474513,38.849375242,-104.824871974,3,u'2021-02-16T00:47:33.000Z',1848.644,8.411,11.238,31.05,1.197,,,04:53:25.035142
90,-6.17,803.8311954393113,28.755985754183506,38.849391503,-104.824837651,3,u'2021-02-16T00:47:36.000Z',1847.996,8.411,11.238,33.58,1.295,,,04:53:27.742789
91,-6.29,803.8263671451422,28.977461934017793,38.849397571,-104.824793972,3,u'2021-02-16T00:47:39.000Z',1848.02,8.411,11.238,31.05,1.303,,,04:53:30.743067
92,-6.46,803.8039900131434,28.96370330740963,38.84940117,-104.824764634,3,u'2021-02-16T00:47:41.000Z',1847.954,8.415,11.232,31.05,1.235,,,04:53:33.743458
93,-6.6,803.8542138033928,32.36204761158405,38.849404122,-104.824713639,3,u'2021-02-16T00:47:44.000Z',1848.122,8.415,11.232,37.72,2.24,,,04:53:35.743505
94,-6.99,803.8815010761875,33.98377356550789,38.849400868,-104.824653536,3,u'2021-02-16T00:47:47.000Z',1847.757,8.415,11.232,64.86,1.375,,,04:53:38.739951
95,-7.2,803.8945023938362,33.45452642279908,38.849397972,-104.824616166,3,u'2021-02-16T00:47:50.000Z',1848.587,8.415,11.232,31.05,1.153,,,04:53:41.741474
96,-7.41,803.9520456729224,33.71230762064315,38.849393629,-104.824581203,3,u'2021-02-16T00:47:52.000Z',1849.026,8.415,11.232,31.05,1.297,,,04:53:44.743328
97,-7.62,803.9137691181852,34.78306588345015,38.849389481,-104.824531964,3,u'2021-02-16T00:47:55.000Z',1851.081,8.415,11.232,31.05,1.36,,,04:53:46.745843
98,-8.22,803.899093103778,36.36948822264183,38.849393626,-104.82448816,3,u'2021-02-16T00:47:58.000Z',1851.035,8.415,11.232,31.05,1.347,,,04:53:49.743784
99,-8.73,803.8555633239173,37.543128864895365,,,,,,,,,,0.94,1.35,04:53:52.744652
100,-9.14,803.8120199017294,38.817467425986536,38.849388955,-104.824405674,3,u'2021-02-16T00:48:03.000Z',1851.743,8.438,11.259,31.05,1.22,,,04:53:55.010357
101,-9.52,803.837658735644,39.904627562506356,38.84939129,-104.824360052,3,u'2021-02-16T00:48:06.000Z',1851.549,8.438,11.259,31.05,1.298,,,04:53:57.750908
102,-9.57,803.8691641059168,40.413833565438786,38.849395873,-104.824313134,3,u'2021-02-16T00:48:09.000Z',1850.295,8.438,11.259,31.05,1.098,,,04:54:00.744724
103,-9.72,803.8154902258539,40.74257833453694,38.849385668,-104.824279654,3,u'2021-02-16T00:48:11.000Z',1850.188,8.442,11.276,31.05,1.317,,,04:54:03.744633
104,-9.87,803.8214484066355,40.97889934887237,38.849376768,-104.824235497,3,u'2021-02-16T00:48:14.000Z',1850.028,8.442,11.276,31.28,1.111,,,04:54:05.743073
105,-10.11,803.838913785065,41.36537217414575,38.849368701,-104.824187171,3,u'2021-02-16T00:48:17.000Z',1849.992,8.442,11.276,31.28,1.231,,,04:54:08.743183
106,-10.32,803.8065320448352,41.67062608463812,38.849365563,-104.824134278,3,u'2021-02-16T00:48:20.000Z',1849.612,8.442,11.276,31.28,1.406,,,04:54:11.743372
107,-10.53,803.8583407334382,42.16474005082343,38.849366974,-104.824099553,3,u'2021-02-16T00:48:22.000Z',1848.86,8.442,11.276,31.28,1.236,,,04:54:14.744070
108,-10.65,803.8392526918849,42.540956688836566,38.849369508,-104.824053738,3,u'2021-02-16T00:48:25.000Z',1847.761,8.442,11.276,31.28,1.248,,,04:54:16.742479
109,-10.87,803.8964735854047,43.22841165226051,38.849371018,-104.824005383,3,u'2021-02-16T00:48:28.000Z',1848.143,8.442,11.276,31.28,1.311,,,04:54:19.742488
110,-11.11,803.8214651772594,43.88749458252538,,,,,,,,,,0.94,1.36,04:54:22.744405
111,-11.19,803.911556133181,44.27960077931893,38.849365617,-104.823926266,3,u'2021-02-16T00:48:33.000Z',1848.871,8.442,11.276,31.28,1.232,,,04:54:24.995587
112,-11.38,803.9025322946632,44.80909354269597,38.849362852,-104.823881853,3,u'2021-02-16T00:48:36.000Z',1849.97,8.442,11.276,31.28,1.166,,,04:54:27.743555
113,-11.57,803.9346518186462,45.68292123674995,38.84935514,-104.823840243,3,u'2021-02-16T00:48:39.000Z',1849.646,8.442,11.276,31.28,1.088,,,04:54:30.744107
114,-11.73,803.9475191918904,46.45943176176094,38.849353417,-104.823810398,3,u'2021-02-16T00:48:41.000Z',1849.82,8.45,11.308,31.28,1.014,,,04:54:33.744424
115,-11.81,803.9001671804742,46.95268453015883,38.849348962,-104.823764224,3,u'2021-02-16T00:48:44.000Z',1849.653,8.45,11.308,31.28,1.049,,,04:54:35.739871
116,-11.96,803.8895801547213,48.1532366693268,38.849345619,-104.823708607,3,u'2021-02-16T00:48:47.000Z',1851.405,8.45,11.308,31.28,1.18,,,04:54:38.744845
117,-12.06,803.9116328138012,48.99976786108548,38.849347709,-104.823663424,3,u'2021-02-16T00:48:50.000Z',1850.352,8.45,11.308,31.28,1.174,,,04:54:41.745494
118,-12.19,803.9375416693421,49.80111693168634,38.849347495,-104.823630409,3,u'2021-02-16T00:48:52.000Z',1850.541,8.452,11.275,31.28,1.035,,,04:54:44.745496
119,-12.27,803.8888187326677,50.335321306319834,38.849346477,-104.823580191,3,u'2021-02-16T00:48:55.000Z',1851.08,8.452,11.275,31.28,1.174,,,04:54:46.741759
120,-12.35,803.9045505383659,50.98776659068303,38.849342471,-104.823538041,3,u'2021-02-16T00:48:58.000Z',1851.616,8.452,11.275,31.28,1.147,,,04:54:49.743071
121,-12.41,803.9020549062302,51.13546129412773,,,,,,,,,,0.94,1.36,04:54:52.758702
122,-12.42,803.9328389684042,50.92051229940312,38.849346205,-104.823459581,3,u'2021-02-16T00:49:03.000Z',1851.229,8.452,11.275,31.28,1.191,,,04:54:55.012432
123,-12.43,803.9221561016361,50.83967179474852,38.849349591,-104.823405241,3,u'2021-02-16T00:49:06.000Z',1852.293,8.452,11.275,31.28,1.358,,,04:54:57.741228
124,-12.48,803.920956492963,50.90724990671143,38.849348994,-104.823354486,3,u'2021-02-16T00:49:09.000Z',1854.049,8.452,11.275,31.28,1.317,,,04:55:00.744884
125,-12.56,803.9080157200002,50.77551816160503,38.849347584,-104.823323394,3,u'2021-02-16T00:49:11.000Z',1854.626,8.241,10.157,31.28,1.236,,,04:55:03.754786
126,-12.62,803.8929063973006,50.93927105563609,38.849343918,-104.823276558,3,u'2021-02-16T00:49:14.000Z',1854.908,8.241,10.157,31.28,1.371,,,04:55:05.753014
127,-12.67,803.8860501362423,51.40937297793559,38.849341827,-104.823226674,3,u'2021-02-16T00:49:17.000Z',1854.91,8.241,10.157,31.28,1.44,,,04:55:08.744884
128,-12.71,803.8930765882785,51.63299191058274,38.849338942,-104.82318434,3,u'2021-02-16T00:49:20.000Z',1854.319,8.241,10.157,31.28,1.15,,,04:55:11.752753
129,-12.68,803.9796699659732,51.6452008592369,38.84933633,-104.82315584,3,u'2021-02-16T00:49:22.000Z',1853.245,8.241,10.167,31.28,1.188,,,04:55:14.746121
130,-12.66,804.0130771959844,51.49562409486249,38.849332343,-104.823113077,3,u'2021-02-16T00:49:25.000Z',1852.184,8.241,10.167,31.28,1.119,,,04:55:16.746018
131,-12.66,803.9536953502388,51.24894211117985,38.849335026,-104.823062697,3,u'2021-02-16T00:49:28.000Z',1851.416,8.241,10.167,31.28,1.227,,,04:55:19.754929
132,-12.65,804.0052990388566,50.905959937661066,,,,,,,,,,0.87,1.36,04:55:22.746665
133,-12.62,803.9501380475112,50.29010374222227,38.849338534,-104.822979585,3,u'2021-02-16T00:49:33.000Z',1851.362,8.224,10.15,31.28,1.313,,,04:55:25.013322
134,-12.58,803.9235849690751,49.84055189635948,38.849338331,-104.822934422,3,u'2021-02-16T00:49:36.000Z',1850.849,8.224,10.15,31.28,1.348,,,04:55:27.754228
135,-12.54,804.0350638865633,49.9170298545714,38.849339315,-104.822886865,3,u'2021-02-16T00:49:39.000Z',1849.693,8.224,10.15,31.28,1.165,,,04:55:30.745322
136,-12.49,803.9517358703364,50.30578815417259,38.849343444,-104.82285469,3,u'2021-02-16T00:49:41.000Z',1848.661,8.224,10.15,31.28,1.412,,,04:55:33.752553
137,-12.43,804.012345051156,50.34541252203447,38.849347212,-104.822808296,3,u'2021-02-16T00:49:44.000Z',1848.971,8.224,10.15,31.28,1.224,,,04:55:35.752611
138,-12.37,804.0079123553392,50.44440850695019,38.84935063,-104.822762161,3,u'2021-02-16T00:49:47.000Z',1848.739,8.224,10.15,31.28,1.096,,,04:55:38.748104
139,-12.33,803.9700575682092,50.49987610465489,38.849356697,-104.822724868,3,u'2021-02-16T00:49:50.000Z',1847.025,8.224,10.15,37.03,1.182,,,04:55:41.753078
140,-12.29,803.9525678950258,50.52800883266345,38.849356011,-104.822695399,3,u'2021-02-16T00:49:52.000Z',1847.184,10.607,10.734,37.03,0.995,,,04:55:44.742673
141,-12.26,803.9278626790484,50.62039782091341,38.849357864,-104.822645479,3,u'2021-02-16T00:49:55.000Z',1847.151,10.607,10.734,31.51,1.223,,,04:55:46.757919
142,-12.26,803.9564924523751,50.58826811085644,38.849358986,-104.822603786,3,u'2021-02-16T00:49:58.000Z',1846.248,10.607,10.734,31.51,1.144,,,04:55:49.753531
143,-12.24,803.9810617520167,50.35260386493326,,,,,,,,,,0.87,1.37,04:55:52.746738
144,-12.22,803.9528800946797,50.079571664546,38.849380111,-104.822528397,3,u'2021-02-16T00:50:03.000Z',1846.524,8.231,10.181,37.03,1.259,,,04:55:55.027043
145,-12.21,803.9758751014348,49.639254828098636,38.849394338,-104.822484174,3,u'2021-02-16T00:50:06.000Z',1847.607,8.231,10.181,31.51,1.317,,,04:55:57.752702
146,-12.21,803.9724034165672,49.553185388804636,38.849414401,-104.822447403,3,u'2021-02-16T00:50:09.000Z',1849.034,8.231,10.181,31.51,1.251,,,04:56:00.747836
147,-12.21,803.9346631687264,49.752004364128744,38.849429844,-104.822434868,3,u'2021-02-16T00:50:11.000Z',1848.77,9.689,10.321,38.87,1.018,,,04:56:03.753851
148,-12.2,803.9988705153455,49.99417322617586,38.849451264,-104.822411498,3,u'2021-02-16T00:50:14.000Z',1849.691,9.689,10.321,38.87,0.987,,,04:56:05.753010
149,-12.22,803.9710966474653,50.04177278441068,38.849477659,-104.822384736,3,u'2021-02-16T00:50:17.000Z',1850.93,9.689,10.321,31.51,1.139,,,04:56:08.746912
150,-12.09,803.9599608025445,51.0461127114105,38.84949938,-104.822363003,3,u'2021-02-16T00:50:20.000Z',1850.837,9.689,10.321,42.09,0.9,,,04:56:11.752497
151,-12.03,804.0057919951249,50.613244665383135,38.849509943,-104.822350423,3,u'2021-02-16T00:50:22.000Z',1850.959,9.689,10.321,38.87,0.552,,,04:56:14.748682
152,-12.02,804.0199448501432,49.576212630672835,38.849538362,-104.822329135,3,u'2021-02-16T00:50:25.000Z',1851.026,9.689,10.321,38.87,1.189,,,04:56:16.746827
153,-11.95,804.0488465596036,50.14889278054345,38.849571634,-104.822326192,3,u'2021-02-16T00:50:28.000Z',1851.126,9.689,10.321,42.32,0.905,,,04:56:19.754003
154,-11.94,804.0501465441093,50.04712089721824,,,,,,,,,,1.0,1.84,04:56:22.745905
155,-11.91,803.996756800786,49.763080564300786,38.849628833,-104.822314771,3,u'2021-02-16T00:50:33.000Z',1850.764,9.672,10.344,38.87,1.226,,,04:56:25.011742
156,-11.88,804.0512651005888,49.33395671665393,38.849663301,-104.822310362,3,u'2021-02-16T00:50:36.000Z',1850.636,9.672,10.344,38.87,1.207,,,04:56:27.753434
157,-11.84,804.0120173051324,48.77577753970731,38.849696636,-104.822298474,3,u'2021-02-16T00:50:39.000Z',1850.344,9.672,10.344,41.17,1.27,,,04:56:30.747455
158,-11.8,804.0169342835221,48.072267970344775,38.849722279,-104.822298568,3,u'2021-02-16T00:50:41.000Z',1851.193,11.524,10.701,41.17,1.264,,,04:56:33.749233
159,-11.78,804.0484406098475,47.61015787423107,38.849756839,-104.822311203,3,u'2021-02-16T00:50:44.000Z',1853.076,11.524,10.701,41.17,1.129,,,04:56:35.749350
160,-11.77,803.9867897176485,47.00757753469363,38.849793279,-104.822324282,3,u'2021-02-16T00:50:47.000Z',1852.882,11.524,10.701,38.87,1.294,,,04:56:38.746373
161,-11.72,804.0243522095606,46.59434108635014,38.849824191,-104.822338424,3,u'2021-02-16T00:50:50.000Z',1851.044,11.524,10.701,31.74,1.103,,,04:56:41.766383
162,-11.69,803.9470362750096,46.30454701134562,38.84984583,-104.822358197,3,u'2021-02-16T00:50:52.000Z',1851.424,8.209,10.225,31.74,1.382,,,04:56:44.747514
