ID,Temperature (degC),Pressure (Pa),Humidity (%),Latitude (deg),Latitude (deg),BME180 Chip ID,BME180 Chip VERSION,Time
209,19.66,804.1625586159785,23.272715774547105,Unknown,Unknown,96,0,20:06:52.193816
210,19.66,804.1758003304305,23.24353381253563,Unknown,Unknown,96,0,20:06:53.191439
211,19.66,804.1690135967569,23.191202944130165,Unknown,Unknown,96,0,20:06:54.193846
212,19.66,804.1557719908067,23.144511119799798,Unknown,Unknown,96,0,20:06:55.193583
213,19.65,804.162226889747,23.150545379408918,38.849057403,-104.826225626,96,0,20:06:56.193762
214,19.64,804.1883774232708,23.104250082960338,38.849045191,-104.826216972,96,0,20:06:57.201215
215,19.64,804.1585014694487,23.063494515584722,,,96,0,20:06:58.200141
216,19.65,804.1921033564228,23.074571511390268,Unknown,Unknown,96,0,20:06:58.552892
217,19.63,804.1517147472728,23.01116566686505,38.849118325,-104.826202201,96,0,20:06:59.194224
218,19.64,804.1751361297205,22.85327642702324,38.849113074,-104.826191779,96,0,20:07:00.199037
219,19.64,804.1486535557236,22.520562270882106,38.849079363,-104.82618694,96,0,20:07:01.200200
220,19.62,804.1511212630015,22.340331740560146,Unknown,Unknown,96,0,20:07:02.199932
221,19.63,804.1809965799387,22.24098974006264,Unknown,Unknown,96,0,20:07:03.193150
222,19.62,804.2040849277084,22.130177526962402,38.849082842,-104.826190303,96,0,20:07:04.190703
223,19.6,804.1039474188647,22.224622901601652,38.849066312,-104.826180876,96,0,20:07:05.196431
224,19.61,804.1871170186486,22.04313571917178,38.84904281,-104.826176986,96,0,20:07:06.196707
225,19.59,804.1732089328514,22.04397754081822,38.849029991,-104.826163549,96,0,20:07:07.197241
226,19.59,804.183055542133,22.19585365051479,,,96,0,20:07:08.198150
227,19.59,804.16336222611,22.242342905063516,38.849013615,-104.826168506,96,0,20:07:08.551500
228,19.58,804.1929020539554,22.277677538069735,38.849008588,-104.826182831,96,0,20:07:09.196710
229,19.58,804.1593736806773,22.17282615604865,Unknown,Unknown,96,0,20:07:10.196656
230,19.58,804.1726136857229,22.237034201832635,Unknown,Unknown,96,0,20:07:11.192437
231,19.58,804.1726136857229,22.108616915579027,Unknown,Unknown,96,0,20:07:12.193658
232,19.57,804.1590393668343,22.190754988246198,Unknown,Unknown,96,0,20:07:13.192797
233,19.57,804.135953256317,22.178976578345644,Unknown,Unknown,96,0,20:07:14.193179
234,19.58,804.1858536951358,22.09694237986626,Unknown,Unknown,96,0,20:07:15.192450
235,19.58,804.1593736806773,21.997707231747963,Unknown,Unknown,96,0,20:07:16.194044
236,19.58,804.1692200959914,21.91025041841638,38.849046877,-104.82619859,96,0,20:07:17.194575
237,19.58,804.1726136857229,21.851768006844132,,,96,0,20:07:18.199608
238,19.57,804.1624329365468,21.787872854720725,38.849011362,-104.826170467,96,0,20:07:18.552630
239,19.58,804.2089399745839,21.536626362494665,38.848996571,-104.826174472,96,0,20:07:19.199356
240,19.57,804.1491930942483,21.338340704567493,38.849046995,-104.826182831,96,0,20:07:20.199257
241,19.57,804.2119985627028,21.215840858260268,38.849083491,-104.826200692,96,0,20:07:21.199692
242,19.58,804.1593736806773,21.04607243885105,38.849049647,-104.82621875,96,0,20:07:22.200201
243,19.56,804.158443684475,21.02945232976113,38.849036752,-104.82623227,96,0,20:07:23.200607
244,19.55,804.1615023471335,20.42250621252873,38.849038518,-104.826250085,96,0,20:07:24.200049
245,19.56,804.1221184178373,20.048275888780154,38.849030617,-104.826251254,96,0,20:07:25.199268
246,19.56,804.1550500943968,19.785679712755368,38.849030081,-104.826258621,96,0,20:07:26.196217
247,19.57,804.1686244947555,19.674225598338115,Unknown,Unknown,96,0,20:07:27.199897
248,19.56,804.2181896473078,19.76196093811503,,,96,0,20:07:28.193500
249,19.56,804.0990325295953,19.85541602224584,38.849039268,-104.826268971,96,0,20:07:28.548001
250,19.57,804.079600704043,19.97198794730901,38.849054738,-104.82627495,96,0,20:07:29.197683
251,19.56,804.1716832600902,20.077594852327028,Unknown,Unknown,96,0,20:07:30.196546
252,19.57,804.115665584979,20.123969009529837,38.849073843,-104.826263284,96,0,20:07:31.193647
253,19.57,804.1686244947555,20.41597883930269,38.849072094,-104.826229231,96,0,20:07:32.197330
254,19.56,804.1452041132267,20.40464295024498,38.848981284,-104.826229811,96,0,20:07:33.196831
255,19.56,804.1519912049087,20.240891528637704,38.848919624,-104.826146333,96,0,20:07:34.201724
256,19.57,804.1756727832123,20.193812904865943,38.848889613,-104.826077805,96,0,20:07:35.200382
257,19.57,804.155384760761,20.29917786925109,38.848887023,-104.826055177,96,0,20:07:36.200592
258,19.57,804.188912634245,20.450780732671326,38.848836529,-104.82604115,96,0,20:07:37.199615
259,19.58,804.195700010686,20.95275781388089,,,96,0,20:07:38.200278
260,19.58,804.1726136857229,21.151173828420863,38.848898959,-104.82595741,96,0,20:07:38.553549
261,19.58,804.1559801451948,21.37899158452726,38.848912621,-104.825914484,96,0,20:07:39.200233
262,19.58,804.1824600511551,21.227188328951264,38.848952792,-104.825896213,96,0,20:07:40.200072
263,19.58,804.1824600511551,20.970275306907578,38.848941219,-104.825897035,96,0,20:07:41.200164
264,19.57,804.1790664138471,20.643380757080617,38.848962858,-104.825880797,96,0,20:07:42.200577
265,19.57,804.2187861427936,20.222899022107725,38.849006949,-104.825880499,96,0,20:07:43.200338
266,19.58,804.1726136857229,20.251869656378464,38.84898099,-104.825855202,96,0,20:07:44.196203
267,19.58,804.1929020539554,20.60203991668393,38.849025042,-104.825842694,96,0,20:07:45.200088
268,19.57,804.1756727832123,20.923785160409302,38.849058068,-104.825817976,96,0,20:07:46.200243
269,19.57,804.155384760761,20.994085484985238,38.849095623,-104.825807969,96,0,20:07:47.199419
270,19.55,804.1516565109929,21.339114023021615,,,96,0,20:07:48.196461
271,19.56,804.1519912049087,21.45544209383058,38.849129486,-104.825793368,96,0,20:07:48.549752
272,19.56,804.1652308846546,21.402898266187417,38.848573875,-104.825646502,96,0,20:07:49.196196
273,19.56,804.1618372812278,21.432198113230477,38.848320293,-104.825539093,96,0,20:07:50.197363
274,19.57,804.1686244947555,21.54290526863104,38.848156147,-104.825433939,96,0,20:07:51.197099
275,19.57,804.1756727832123,21.4142398501123,38.848021138,-104.825297024,96,0,20:07:52.197071
276,19.56,804.1981624244214,21.479011572496933,38.84790596,-104.825221708,96,0,20:07:53.197617
277,19.56,804.1917102572472,21.630582410418672,38.847883487,-104.82515273,96,0,20:07:54.198791
278,19.55,804.2012206119425,21.78873444018131,38.847886499,-104.825077406,96,0,20:07:55.194907
279,19.56,804.158443684475,21.7767393665148,38.847895953,-104.825025659,96,0,20:07:56.197550
280,19.58,804.1824600511551,22.21962722749331,38.847947563,-104.824981124,96,0,20:07:57.197582
281,19.57,804.1658265129325,22.50573270629975,,,96,0,20:07:58.198960
282,19.58,804.1824600511551,22.49395704455795,38.847962247,-104.824915017,96,0,20:07:58.551725
283,19.58,804.153181700804,22.36523205337162,38.847978144,-104.824872333,96,0,20:07:59.199600
284,19.58,804.1295002567032,22.178767729106774,38.848041409,-104.824864336,96,0,20:08:00.200243
285,19.59,804.2030830675061,22.0321972268285,38.848075641,-104.824845812,96,0,20:08:01.201175
286,19.58,804.1664218141539,23.29317333308179,38.84810216,-104.82484591,96,0,20:08:02.199168
287,19.61,804.1871170186486,24.499963539934313,38.84811017,-104.824823556,96,0,20:08:03.200472
288,19.6,804.173542811459,23.531833603425373,Unknown,Unknown,96,0,20:08:04.200401
289,19.6,804.1470619468682,22.7323293298273,Unknown,Unknown,96,0,20:08:05.194769
290,19.61,804.1538488201234,22.352730775970233,38.848085414,-104.824751359,96,0,20:08:06.192215
291,19.6,804.1901768463468,22.020100651560153,38.848161336,-104.824523645,96,0,20:08:07.200688
292,19.61,804.1606357200596,21.82713131509377,,,96,0,20:08:08.201590
293,19.62,804.1477278848513,21.76832210556182,38.848252934,-104.824347127,96,0,20:08:08.555082
294,19.62,804.180663402286,21.651767679849065,38.848322032,-104.824173404,96,0,20:08:09.200495
295,19.62,804.180663402286,21.435736297926912,38.848384828,-104.824006984,96,0,20:08:10.200208
296,19.62,804.1972977440762,21.634144517680998,38.848477129,-104.824023002,96,0,20:08:11.196828
297,19.62,804.1310937166127,21.517371208800302,38.848493478,-104.823990071,96,0,20:08:12.196965
